U.S.,US
D.C.,DC
U.N.,UN
A.M.,AM
P.M.,PM
Sgt.,Sergeant
Brig.,Brigadier
Gen.,General
Lt.,Lieutenant
Maj.,Major
Col.,Colonel
Capt.,Captain
Cpl.,Corporal
Spc.,Specialist
Pfc.,Private First Class
Pvt.,Private
Cmdr.,Commander
(res.),(Reserve)
*, 
Israellycool, 
Walter Cronkite,your host
L.A., Los Angeles
Rep., Representative
